英雄ID	阶级	展示名称	主动技能ID	被动技能1ID	被动技能2ID	被动技能3ID	被动技能4ID	被动技能5ID	被动技能6ID	空行												
9	5	성•주작사	202072	4	5																	
9	6	왕•주작사	202072	4	5	6																
9	7	황•주작사	203072	4	5	6																
10	1	호군교관	100056																			
10	2	진•호군교관	100056	10																		
10	3	귀•호군교관	101056	10																		
10	4	신•호군교관	101056	10	11																	
10	5	성•호군교관	102056	10	11																	
10	6	왕•호군교관	102056	10	11	12																
10	7	황•호군교관	103056	10	11	12																
11	1	요희	200092,210092																			
11	2	진•요희	200092,210092	4																		
11	3	귀•요희	201092,211092	4																		
11	4	신•요희	201092,211092	4	5																	
11	5	성•요희	202092,212092	4	5																	
11	6	왕•요희	202092,212092	4	5	6																
11	7	황•요희	203092,213092	4	5	6																
12	1	현승	200072																			
12	2	진•현승	200072	4																		
12	3	귀•현승	201072	4																		
12	4	신•현승	201072	4	5																	
12	5	성•현승	202072	4	5																	
12	6	왕•현승	202072	4	5	6																
12	7	황•현승	203072	4	5	6																
13	1	군사	200045																			
13	2	진•군사	200045	4																		
13	3	귀•군사	201045	4																		
13	4	신•군사	201045	4	5																	
13	5	성•군사	202045	4	5																	
13	6	왕•군사	202045	4	5	6																
13	7	황•군사	203045	4	5	6																
14	1	전군교위	100056																			
14	2	진•전군교위	100056	10																		
14	3	귀•전군교위	101056	10																		
14	4	신•전군교위	101056	10	11																	
14	5	성•전군교위	102056	10	11																	
14	6	왕•전군교위	102056	10	11	12																
14	7	황•전군교위	103056	10	11	12																
15	1	사성교위	100056																			
15	2	진•사성교위	100056	10																		
15	3	귀•사성교위	101056	10																		
15	4	신•사성교위	101056	10	11																	
15	5	성•사성교위	102056	10	11																	
15	6	왕•사성교위	102056	10	11	12																
15	7	황•사성교위	103056	10	11	12																
16	1	용위기	100046																			
16	2	진•용위기	100046	10																		
16	3	귀•용위기	101046	10																		
16	4	신•용위기	101046	10	11																	
16	5	성•용위기	102046	10	11																	
16	6	왕•용위기	102046	10	11	12																
16	7	황•용위기	103046	10	11	12																
17	1	철낭자	100062																			
17	2	진•철낭자	100062	10																		
17	3	귀•철낭자	101062	10																		
17	4	신•철낭자	101062	10	11																	
17	5	성•철낭자	102062	10	11																	
17	6	왕•철낭자	102062	10	11	12																
17	7	황•철낭자	103062	10	11	12																
18	1	검호	100051																			
18	2	진•검호	100051	10																		
18	3	귀•검호	101051	10																		
18	4	신•검호	101051	10	11																	
18	5	성•검호	102051	10	11																	
18	6	왕•검호	102051	10	11	12																
18	7	황•검호	103051	10	11	12																
19	1	평아	100048																			
19	2	진•평아	100048	10																		
19	3	귀•평아	101048	10																		
19	4	신•평아	101048	10	11																	
19	5	성•평아	102048	10	11																	
19	6	왕•평아	102048	10	11	12																
19	7	황•평아	103048	10	11	12																
20	1	나찰녀	200092,210092																			
20	2	진•나찰녀	200092,210092	4																		
20	3	귀•나찰녀	201092,211092	4																		
20	4	신•나찰녀	201092,211092	4	5																	
20	5	성•나찰녀	202092,212092	4	5																	
20	6	왕•나찰녀	202092,212092	4	5	6																
20	7	황•나찰녀	203092,213092	4	5	6																
21	1	영군교관	100046																			
21	2	진•영군교관	100046	10																		
21	3	귀•영군교관	101046	10																		
21	4	신•영군교관	101046	10	11																	
21	5	성•영군교관	102046	10	11																	
21	6	왕•영군교관	102046	10	11	12																
21	7	황•영군교관	103046	10	11	12																
22	1	금위군교관	100051																			
22	2	진•금위군교관	100051	10																		
22	3	귀•금위군교관	101051	10																		
22	4	신•금위군교관	101051	10	11																	
22	5	성•금위군교관	102051	10	11																	
22	6	왕•금위군교관	102051	10	11	12																
22	7	황•금위군교관	103051	10	11	12																
23	1	금도위	100062																			
23	2	진•금도위	100062	10																		
23	3	귀•금도위	101062	10																		
23	4	신•금도위	101062	10	11																	
23	5	성•금도위	102062	10	11																	
23	6	왕•금도위	102062	10	11	12																
23	7	황•금도위	103062	10	11	12																
24	1	중서승	200059																			
24	2	진•중서승	200059	4																		
24	3	귀•중서승	201059	4																		
24	4	신•중서승	201059	4	5																	
24	5	성•중서승	202059	4	5																	
24	6	왕•중서승	202059	4	5	6																
24	7	황•중서승	203059	4	5	6																
25	1	현위	200092,210092																			
25	2	진•현위	200092,210092	4																		
25	3	귀•현위	201092,211092	4																		
25	4	신•현위	201092,211092	4	5																	
25	5	성•현위	202092,212092	4	5																	
25	6	왕•현위	202092,212092	4	5	6																
25	7	황•현위	203092,213092	4	5	6																
26	1	신술사	200068																			
26	2	진•신술사	200068	4																		
26	3	귀•신술사	201068	4																		
26	4	신•신술사	201068	4	5																	
26	5	성•신술사	202068	4	5																	
26	6	왕•신술사	202068	4	5	6																
26	7	황•신술사	203068	4	5	6																
27	1	귀도사	200045																			
27	2	진•귀도사	200045	4																		
27	3	귀•귀도사	201045	4																		
27	4	신•귀도사	201045	4	5																	
27	5	성•귀도사	202045	4	5																	
27	6	왕•귀도사	202045	4	5	6																
27	7	황•귀도사	203045	4	5	6																
28	1	성도사	200068																			
28	2	진•성도사	200068	4																		
28	3	귀•성도사	201068	4																		
28	4	신•성도사	201068	4	5																	
28	5	성•성도사	202068	4	5																	
28	6	왕•성도사	202068	4	5	6																
28	7	황•성도사	203068	4	5	6																
29	1	빈기	300071																			
29	2	진•빈기	300071	4																		
29	3	귀•빈기	301071	4																		
29	4	신•빈기	301071	4	5																	
29	5	성•빈기	302071	4	5																	
29	6	왕•빈기	302071	4	5	6																
29	7	황•빈기	303071	4	5	6																
30	1	애첩	300071																			
30	2	진•애첩	300071	4																		
30	3	귀•애첩	301071	4																		
30	4	신•애첩	301071	4	5																	
30	5	성•애첩	302071	4	5																	
30	6	왕•애첩	302071	4	5	6																
30	7	황•애첩	303071	4	5	6																
31	1	의사	400091																			
31	2	진•의사	400091	7																		
31	3	귀•의사	401091	7																		
31	4	신•의사	401091	7	8																	
31	5	성•의사	402091	7	8																	
31	6	왕•의사	402091	7	8	9																
31	7	황•의사	403091	7	8	9																
32	1	황보숭	100048																			
32	2	진•황보숭	100048	10																		
32	3	귀•황보숭	101048	10																		
32	4	신•황보숭	101048	10	11																	
32	5	성•황보숭	102048	10	11																	
32	6	왕•황보숭	102048	10	11	12																
32	7	황•황보숭	103048	10	11	12																
33	1	유장	200059																			
33	2	진•유장	200059	4																		
33	3	귀•유장	201059	4																		
33	4	신•유장	201059	4	5																	
33	5	성•유장	202059	4	5																	
33	6	왕•유장	202059	4	5	6																
33	7	황•유장	203059	4	5	6																
34	1	장수	100048																			
34	2	진•장수	100048	10																		
34	3	귀•장수	101048	10																		
34	4	신•장수	101048	10	11																	
34	5	성•장수	102048	10	11																	
34	6	왕•장수	102048	10	11	12																
34	7	황•장수	103048	10	11	12																
35	1	조절	200045																			
35	2	진•조절	200045	4																		
35	3	귀•조절	201045	4																		
35	4	신•조절	201045	4	5																	
35	5	성•조절	202045	4	5																	
35	6	왕•조절	202045	4	5	6																
35	7	황•조절	203045	4	5	6																
36	1	정보	100048																			
36	2	진•정보	100048	10																		
36	3	귀•정보	101048	10																		
36	4	신•정보	101048	10	11																	
36	5	성•정보	102048	10	11																	
36	6	왕•정보	102048	10	11	12																
36	7	황•정보	103048	10	11	12																
37	1	손로반	400111																			
37	2	진•손로반	400111	7																		
37	3	귀•손로반	401111	7																		
37	4	신•손로반	401111	7	8																	
37	5	성•손로반	402111	7	8																	
37	6	왕•손로반	402111	7	8	9																
37	7	황•손로반	403111	7	8	9																
38	1	주연	100051																			
38	2	진•주연	100051	10																		
38	3	귀•주연	101051	10																		
38	4	신•주연	101051	10	11																	
38	5	성•주연	102051	10	11																	
38	6	왕•주연	102051	10	11	12																
38	7	황•주연	103051	10	11	12																
39	1	능조	100062																			
39	2	진•능조	100062	10																		
39	3	귀•능조	101062	10																		
39	4	신•능조	101062	10	11																	
39	5	성•능조	102062	10	11																	
39	6	왕•능조	102062	10	11	12																
39	7	황•능조	103062	10	11	12																
40	1	관평	100040,110040																			
40	2	진•관평	100040,110040	10																		
40	3	귀•관평	101040,111040	10																		
40	4	신•관평	101040,111040	10	11																	
40	5	성•관평	102040,112040	10	11																	
40	6	왕•관평	102040,112040	10	11	12																
40	7	황•관평	103040,113040	10	11	12																
41	1	위연	100041																			
41	2	진•위연	100041	10																		
41	3	귀•위연	101041	10																		
41	4	신•위연	101041	10	11																	
41	5	성•위연	102041	10	11																	
41	6	왕•위연	102041	10	11	12																
41	7	황•위연	103041	10	11	12																
42	1	장포	100042,110042																			
42	2	진•장포	100042,110042	10																		
42	3	귀•장포	101042,111042	10																		
42	4	신•장포	101042,111042	10	11																	
42	5	성•장포	102042,112042	10	11																	
42	6	왕•장포	102042,112042	10	11	12																
42	7	황•장포	103042,113042	10	11	12																
43	1	법정	300043																			
43	2	진•법정	300043	4																		
43	3	귀•법정	301043	4																		
43	4	신•법정	301043	4	5																	
43	5	성•법정	302043	4	5																	
43	6	왕•법정	302043	4	5	6																
43	7	황•법정	303043	4	5	6																
44	1	관흥	100044																			
44	2	진•관흥	100044	10																		
44	3	귀•관흥	101044	10																		
44	4	신•관흥	101044	10	11																	
44	5	성•관흥	102044	10	11																	
44	6	왕•관흥	102044	10	11	12																
44	7	황•관흥	103044	10	11	12																
45	1	포삼낭	200045																			
45	2	진•포삼낭	200045	4																		
45	3	귀•포삼낭	201045	4																		
45	4	신•포삼낭	201045	4	5																	
45	5	성•포삼낭	202045	4	5																	
45	6	왕•포삼낭	202045	4	5	6																
45	7	황•포삼낭	203045	4	5	6																
46	1	주창	100046																			
46	2	진•주창	100046	10																		
46	3	귀•주창	101046	10																		
46	4	신•주창	101046	10	11																	
46	5	성•주창	102046	10	11																	
46	6	왕•주창	102046	10	11	12																
46	7	황•주창	103046	10	11	12																
47	1	관색	100047																			
47	2	진•관색	100047	10																		
47	3	귀•관색	101047	10																		
47	4	신•관색	101047	10	11																	
47	5	성•관색	102047	10	11																	
47	6	왕•관색	102047	10	11	12																
47	7	황•관색	103047	10	11	12																
48	1	하후패	100048																			
48	2	진•하후패	100048	10																		
48	3	귀•하후패	101048	10																		
48	4	신•하후패	101048	10	11																	
48	5	성•하후패	102048	10	11																	
48	6	왕•하후패	102048	10	11	12																
48	7	황•하후패	103048	10	11	12																
49	1	엄안	100049																			
49	2	진•엄안	100049	10																		
49	3	귀•엄안	101049	10																		
49	4	신•엄안	101049	10	11																	
49	5	성•엄안	102049	10	11																	
49	6	왕•엄안	102049	10	11	12																
49	7	황•엄안	103049	10	11	12																
50	1	맹획	100050																			
50	2	진•맹획	100050	10																		
50	3	귀•맹획	101050	10																		
50	4	신•맹획	101050	10	11																	
50	5	성•맹획	102050	10	11																	
50	6	왕•맹획	102050	10	11	12																
50	7	황•맹획	103050	10	11	12																
51	1	원소	100051																			
51	2	진•원소	100051	10																		
51	3	귀•원소	101051	10																		
51	4	신•원소	101051	10	11																	
51	5	성•원소	102051	10	11																	
51	6	왕•원소	102051	10	11	12																
51	7	황•원소	103051	10	11	12																
52	1	화웅	100052																			
52	2	진•화웅	100052	10																		
52	3	귀•화웅	101052	10																		
52	4	신•화웅	101052	10	11																	
52	5	성•화웅	102052	10	11																	
52	6	왕•화웅	102052	10	11	12																
52	7	황•화웅	103052	10	11	12																
53	1	안량	100053																			
53	2	진•안량	100053	10																		
53	3	귀•안량	101053	10																		
53	4	신•안량	101053	10	11																	
53	5	성•안량	102053	10	11																	
53	6	왕•안량	102053	10	11	12																
53	7	황•안량	103053	10	11	12																
54	1	문추	100054																			
54	2	진•문추	100054	10																		
54	3	귀•문추	101054	10																		
54	4	신•문추	101054	10	11																	
54	5	성•문추	102054	10	11																	
54	6	왕•문추	102054	10	11	12																
54	7	황•문추	103054	10	11	12																
55	1	진궁	300055																			
55	2	진•진궁	300055	4																		
55	3	귀•진궁	301055	4																		
55	4	신•진궁	301055	4	5																	
55	5	성•진궁	302055	4	5																	
55	6	왕•진궁	302055	4	5	6																
55	7	황•진궁	303055	4	5	6																
56	1	공손찬	100056																			
56	2	진•공손찬	100056	10																		
56	3	귀•공손찬	101056	10																		
56	4	신•공손찬	101056	10	11																	
56	5	성•공손찬	102056	10	11																	
56	6	왕•공손찬	102056	10	11	12																
56	7	황•공손찬	103056	10	11	12																
57	1	고순	100057																			
57	2	진•고순	100057	10																		
57	3	귀•고순	101057	10																		
57	4	신•고순	101057	10	11																	
57	5	성•고순	102057	10	11																	
57	6	왕•고순	102057	10	11	12																
57	7	황•고순	103057	10	11	12																
58	1	이유	300058																			
58	2	진•이유	300058	4																		
58	3	귀•이유	301058	4																		
58	4	신•이유	301058	4	5																	
58	5	성•이유	302058	4	5																	
58	6	왕•이유	302058	4	5	6																
58	7	황•이유	303058	4	5	6																
59	1	장임	200059																			
59	2	진•장임	200059	4																		
59	3	귀•장임	201059	4																		
59	4	신•장임	201059	4	5																	
59	5	성•장임	202059	4	5																	
59	6	왕•장임	202059	4	5	6																
59	7	황•장임	203059	4	5	6																
60	1	전위	100060,110060																			
60	2	진•전위	100060,110060	10																		
60	3	귀•전위	101060,111060	10																		
60	4	신•전위	101060,111060	10	11																	
60	5	성•전위	102060,112060	10	11																	
60	6	왕•전위	102060,112060	10	11	12																
60	7	황•전위	103060,113060	10	11	12																
61	1	허저	100061																			
61	2	진•허저	100061	10																		
61	3	귀•허저	101061	10																		
61	4	신•허저	101061	10	11																	
61	5	성•허저	102061	10	11																	
61	6	왕•허저	102061	10	11	12																
61	7	황•허저	103061	10	11	12																
62	1	조창	100062																			
62	2	진•조창	100062	10																		
62	3	귀•조창	101062	10																		
62	4	신•조창	101062	10	11																	
62	5	성•조창	102062	10	11																	
62	6	왕•조창	102062	10	11	12																
62	7	황•조창	103062	10	11	12																
63	1	방덕	100063																			
63	2	진•방덕	100063	10																		
63	3	귀•방덕	101063	10																		
63	4	신•방덕	101063	10	11																	
63	5	성•방덕	102063	10	11																	
63	6	왕•방덕	102063	10	11	12																
63	7	황•방덕	103063	10	11	12																
64	1	장합	100064																			
64	2	진•장합	100064	10																		
64	3	귀•장합	101064	10																		
64	4	신•장합	101064	10	11																	
64	5	성•장합	102064	10	11																	
64	6	왕•장합	102064	10	11	12																
64	7	황•장합	103064	10	11	12																
65	1	서황	100065																			
65	2	진•서황	100065	10																		
65	3	귀•서황	101065	10																		
65	4	신•서황	101065	10	11																	
65	5	성•서황	102065	10	11																	
65	6	왕•서황	102065	10	11	12																
65	7	황•서황	103065	10	11	12																
66	1	우금	100066																			
66	2	진•우금	100066	10																		
66	3	귀•우금	101066	10																		
66	4	신•우금	101066	10	11																	
66	5	성•우금	102066	10	11																	
66	6	왕•우금	102066	10	11	12																
66	7	황•우금	103066	10	11	12																
67	1	주태	100067,110067																			
67	2	진•주태	100067,110067	10																		
67	3	귀•주태	101067,111067	10																		
67	4	신•주태	101067,111067	10	11																	
67	5	성•주태	102067,112067	10	11																	
67	6	왕•주태	102067,112067	10	11	12																
67	7	황•주태	103067,113067	10	11	12																
68	1	능통	200068																			
68	2	진•능통	200068	4																		
68	3	귀•능통	201068	4																		
68	4	신•능통	201068	4	5																	
68	5	성•능통	202068	4	5																	
68	6	왕•능통	202068	4	5	6																
68	7	황•능통	203068	4	5	6																
69	1	황개	100069																			
69	2	진•황개	100069	10																		
69	3	귀•황개	101069	10																		
69	4	신•황개	101069	10	11																	
69	5	성•황개	102069	10	11																	
69	6	왕•황개	102069	10	11	12																
69	7	황•황개	103069	10	11	12																
70	1	노숙	300070																			
70	2	진•노숙	300070	4																		
70	3	귀•노숙	301070	4																		
70	4	신•노숙	301070	4	5																	
70	5	성•노숙	302070	4	5																	
70	6	왕•노숙	302070	4	5	6																
70	7	황•노숙	303070	4	5	6																
71	1	우번	300071																			
71	2	진•우번	300071	4																		
71	3	귀•우번	301071	4																		
71	4	신•우번	301071	4	5																	
71	5	성•우번	302071	4	5																	
71	6	왕•우번	302071	4	5	6																
71	7	황•우번	303071	4	5	6																
72	1	제갈근	200072																			
72	2	진•제갈근	200072	4																		
72	3	귀•제갈근	201072	4																		
72	4	신•제갈근	201072	4	5																	
72	5	성•제갈근	202072	4	5																	
72	6	왕•제갈근	202072	4	5	6																
72	7	황•제갈근	203072	4	5	6																
73	1	반장	100073																			
73	2	진•반장	100073	10																		
73	3	귀•반장	101073	10																		
73	4	신•반장	101073	10	11																	
73	5	성•반장	102073	10	11																	
73	6	왕•반장	102073	10	11	12																
73	7	황•반장	103073	10	11	12																
74	1	유비	100074,110074,120074																			
74	2	진•유비	100074,110074,120074	10																		
74	3	귀•유비	101074,111074,121074	10																		
74	4	신•유비	101074,111074,121074	10	11																	
74	5	성•유비	102074,112074,122074	10	11																	
74	6	왕•유비	102074,112074,122074	10	11	12																
74	7	황•유비	103074,113074,123074	10	11	12																
75	1	관우	100075,110075																			
75	2	진•관우	100075,110075	10																		
75	3	귀•관우	101075,111075	10																		
75	4	신•관우	101075,111075	10	11																	
75	5	성•관우	102075,112075	10	11																	
75	6	왕•관우	102075,112075	10	11	12																
75	7	황•관우	103075,113075	10	11	12																
76	1	장비	100076,110076																			
76	2	진•장비	100076,110076	10																		
76	3	귀•장비	101076,111076	10																		
76	4	신•장비	101076,111076	10	11																	
76	5	성•장비	102076,112076	10	11																	
76	6	왕•장비	102076,112076	10	11	12																
76	7	황•장비	103076,113076	10	11	12																
77	1	마초	100077																			
77	2	진•마초	100077	10																		
77	3	귀•마초	101077	10																		
77	4	신•마초	101077	10	11																	
77	5	성•마초	102077	10	11																	
77	6	왕•마초	102077	10	11	12																
77	7	황•마초	103077	10	11	12																
78	1	조운	100078,110078																			
78	2	진•조운	100078,110078	10																		
78	3	귀•조운	101078,111078	10																		
78	4	신•조운	101078,111078	10	11																	
78	5	성•조운	102078,112078	10	11																	
78	6	왕•조운	102078,112078	10	11	12																
78	7	황•조운	103078,113078	10	11	12																
79	1	제갈량	300079,310079																			
79	2	진•제갈량	300079,310079	4																		
79	3	귀•제갈량	301079,311079	4																		
79	4	신•제갈량	301079,311079	4	5																	
79	5	성•제갈량	302079,312079	4	5																	
79	6	왕•제갈량	302079,312079	4	5	6																
79	7	황•제갈량	303079,313079	4	5	6																
80	1	손상향	300080																			
80	2	진•손상향	300080	4																		
80	3	귀•손상향	301080	4																		
80	4	신•손상향	301080	4	5																	
80	5	성•손상향	302080	4	5																	
80	6	왕•손상향	302080	4	5	6																
80	7	황•손상향	303080	4	5	6																
81	1	강유	200081																			
81	2	진•강유	200081	4																		
81	3	귀•강유	201081	4																		
81	4	신•강유	201081	4	5																	
81	5	성•강유	202081	4	5																	
81	6	왕•강유	202081	4	5	6																
81	7	황•강유	203081	4	5	6																
82	1	제갈과	200082,210082																			
82	2	진•제갈과	200082,210082	4																		
82	3	귀•제갈과	201082,211082	4																		
82	4	신•제갈과	201082,211082	4	5																	
82	5	성•제갈과	202082,212082	4	5																	
82	6	왕•제갈과	202082,212082	4	5	6																
82	7	황•제갈과	203082,213082	4	5	6																
83	1	방통	200083																			
83	2	진•방통	200083	4																		
83	3	귀•방통	201083	4																		
83	4	신•방통	201083	4	5																	
83	5	성•방통	202083	4	5																	
83	6	왕•방통	202083	4	5	6																
83	7	황•방통	203083	4	5	6																
84	1	황충	100084																			
84	2	진•황충	100084	10																		
84	3	귀•황충	101084	10																		
84	4	신•황충	101084	10	11																	
84	5	성•황충	102084	10	11																	
84	6	왕•황충	102084	10	11	12																
84	7	황•황충	103084	10	11	12																
85	1	동탁	100085,110085,120085																			
85	2	진•동탁	100085,110085,120085	10																		
85	3	귀•동탁	101085,111085,121085	10																		
85	4	신•동탁	101085,111085,121085	10	11																	
85	5	성•동탁	102085,112085,122085	10	11																	
85	6	왕•동탁	102085,112085,122085	10	11	12																
85	7	황•동탁	103085,113085,123085	10	11	12																
86	1	여포	100086,110086																			
86	2	진•여포	100086,110086	10																		
86	3	귀•여포	101086,111086	10																		
86	4	신•여포	101086,111086	10	11																	
86	5	성•여포	102086,112086	10	11																	
86	6	왕•여포	102086,112086	10	11	12																
86	7	황•여포	103086,113086	10	11	12																
87	1	초선	300087,310087,320087																			
87	2	진•초선	300087,310087,320087	4																		
87	3	귀•초선	301087,311087,321087	4																		
87	4	신•초선	301087,311087,321087	4	5																	
87	5	성•초선	302087,312087,322087	4	5																	
87	6	왕•초선	302087,312087,322087	4	5	6																
87	7	황•초선	303087,313087,323087	4	5	6																
88	1	장각	200088																			
88	2	진•장각	200088	4																		
88	3	귀•장각	201088	4																		
88	4	신•장각	201088	4	5																	
88	5	성•장각	202088	4	5																	
88	6	왕•장각	202088	4	5	6																
88	7	황•장각	203088	4	5	6																
89	1	채문희	400089																			
89	2	진•채문희	400089	7																		
89	3	귀•채문희	401089	7																		
89	4	신•채문희	401089	7	8																	
89	5	성•채문희	402089	7	8																	
89	6	왕•채문희	402089	7	8	9																
89	7	황•채문희	403089	7	8	9																
90	1	여령기	100090,110090																			
90	2	진•여령기	100090,110090	10																		
90	3	귀•여령기	101090,111090	10																		
90	4	신•여령기	101090,111090	10	11																	
90	5	성•여령기	102090,112090	10	11																	
90	6	왕•여령기	102090,112090	10	11	12																
90	7	황•여령기	103090,113090	10	11	12																
91	1	화타	400091																			
91	2	진•화타	400091	7																		
91	3	귀•화타	401091	7																		
91	4	신•화타	401091	7	8																	
91	5	성•화타	402091	7	8																	
91	6	왕•화타	402091	7	8	9																
91	7	황•화타	403091	7	8	9																
92	1	축융	200092,210092																			
92	2	진•축융	200092,210092	4																		
92	3	귀•축융	201092,211092	4																		
92	4	신•축융	201092,211092	4	5																	
92	5	성•축융	202092,212092	4	5																	
92	6	왕•축융	202092,212092	4	5	6																
92	7	황•축융	203092,213092	4	5	6																
93	1	조조	200093,210093,220093																			
93	2	진•조조	200093,210093,220093	4																		
93	3	귀•조조	201093,211093,221093	4																		
93	4	신•조조	201093,211093,221093	4	5																	
93	5	성•조조	202093,212093,222093	4	5																	
93	6	왕•조조	202093,212093,222093	4	5	6																
93	7	황•조조	203093,213093,223093	4	5	6																
94	1	사마의	200094,210094																			
94	2	진•사마의	200094,210094	4																		
94	3	귀•사마의	201094,211094	4																		
94	4	신•사마의	201094,211094	4	5																	
94	5	성•사마의	202094,212094	4	5																	
94	6	왕•사마의	202094,212094	4	5	6																
94	7	황•사마의	203094,213094	4	5	6																
95	1	견희	200095,210095																			
95	2	진•견희	200095,210095	4																		
95	3	귀•견희	201095,211095	4																		
95	4	신•견희	201095,211095	4	5																	
95	5	성•견희	202095,212095	4	5																	
95	6	왕•견희	202095,212095	4	5	6																
95	7	황•견희	203095,213095	4	5	6																
96	1	하후돈	100096																			
96	2	진•하후돈	100096	10																		
96	3	귀•하후돈	101096	10																		
96	4	신•하후돈	101096	10	11																	
96	5	성•하후돈	102096	10	11																	
96	6	왕•하후돈	102096	10	11	12																
96	7	황•하후돈	103096	10	11	12																
97	1	장료	100097,110097																			
97	2	진•장료	100097,110097	10																		
97	3	귀•장료	101097,111097	10																		
97	4	신•장료	101097,111097	10	11																	
97	5	성•장료	102097,112097	10	11																	
97	6	왕•장료	102097,112097	10	11	12																
97	7	황•장료	103097,113097	10	11	12																
98	1	사마소	200098																			
98	2	진•사마소	200098	4																		
98	3	귀•사마소	201098	4																		
98	4	신•사마소	201098	4	5																	
98	5	성•사마소	202098	4	5																	
98	6	왕•사마소	202098	4	5	6																
98	7	황•사마소	203098	4	5	6																
99	1	등애	300099,310099																			
99	2	진•등애	300099,310099	4																		
99	3	귀•등애	301099,311099	4																		
99	4	신•등애	301099,311099	4	5																	
99	5	성•등애	302099,312099	4	5																	
99	6	왕•등애	302099,312099	4	5	6																
99	7	황•등애	303099,313099	4	5	6																
100	1	장춘화	400100																			
100	2	진•장춘화	400100	7																		
100	3	귀•장춘화	401100	7																		
100	4	신•장춘화	401100	7	8																	
100	5	성•장춘화	402100	7	8																	
100	6	왕•장춘화	402100	7	8	9																
100	7	황•장춘화	403100	7	8	9																
101	1	하후연	100101,110101																			
101	2	진•하후연	100101,110101	10																		
101	3	귀•하후연	101101,111101	10																		
101	4	신•하후연	101101,111101	10	11																	
101	5	성•하후연	102101,112101	10	11																	
101	6	왕•하후연	102101,112101	10	11	12																
101	7	황•하후연	103101,113101	10	11	12																
102	1	순유	300102																			
102	2	진•순유	300102	4																		
102	3	귀•순유	301102	4																		
102	4	신•순유	301102	4	5																	
102	5	성•순유	302102	4	5																	
102	6	왕•순유	302102	4	5	6																
102	7	황•순유	303102	4	5	6																
103	1	순욱	200103																			
103	2	진•순욱	200103	4																		
103	3	귀•순욱	201103	4																		
103	4	신•순욱	201103	4	5																	
103	5	성•순욱	202103	4	5																	
103	6	왕•순욱	202103	4	5	6																
103	7	황•순욱	203103	4	5	6																
104	1	가후	200104																			
104	2	진•가후	200104	4																		
104	3	귀•가후	201104	4																		
104	4	신•가후	201104	4	5																	
104	5	성•가후	202104	4	5																	
104	6	왕•가후	202104	4	5	6																
104	7	황•가후	203104	4	5	6																
105	1	손권	300105,310105,320105																			
105	2	진•손권	300105,310105,320105	4																		
105	3	귀•손권	301105,311105,321105	4																		
105	4	신•손권	301105,311105,321105	4	5																	
105	5	성•손권	302105,312105,322105	4	5																	
105	6	왕•손권	302105,312105,322105	4	5	6																
105	7	황•손권	303105,313105,323105	4	5	6																
106	1	손책	100106,110106																			
106	2	진•손책	100106,110106	10																		
106	3	귀•손책	101106,111106	10																		
106	4	신•손책	101106,111106	10	11																	
106	5	성•손책	102106,112106	10	11																	
106	6	왕•손책	102106,112106	10	11	12																
106	7	황•손책	103106,113106	10	11	12																
107	1	감녕	100107																			
107	2	진•감녕	100107	10																		
